Angle,Sin
0,0.0000
0.1,0.0017
0.2,0.0035
0.3,0.0052
0.4,0.0070
0.5,0.0087
0.6,0.0105
0.7,0.0122
0.8,0.0140
0.9,0.0157
1,0.0175
1.1,0.0192
1.2,0.0209
1.3,0.0227
1.4,0.0244
1.5,0.0262
1.6,0.0279
1.7,0.0297
1.8,0.0314
1.9,0.0332
2,0.0349
2.1,0.0366
2.2,0.0384
2.3,0.0401
2.4,0.0419
2.5,0.0436
2.6,0.0454
2.7,0.0471
2.8,0.0488
2.9,0.0506
3,0.0523
3.1,0.0541
3.2,0.0558
3.3,0.0576
3.4,0.0593
3.5,0.0610
3.6,0.0628
3.7,0.0645
3.8,0.0663
3.9,0.0680
4,0.0698
4.1,0.0715
4.2,0.0732
4.3,0.0750
4.4,0.0767
4.5,0.0785
4.6,0.0802
4.7,0.0819
4.8,0.0837
4.9,0.0854
5,0.0872
5.1,0.0889
5.2,0.0906
5.3,0.0924
5.4,0.0941
5.5,0.0958
5.6,0.0976
5.7,0.0993
5.8,0.1011
5.9,0.1028
6,0.1045
6.1,0.1063
6.2,0.1080
6.3,0.1097
6.4,0.1115
6.5,0.1132
6.6,0.1149
6.7,0.1167
6.8,0.1184
6.9,0.1201
7,0.1219
7.1,0.1236
7.2,0.1253
7.3,0.1271
7.4,0.1288
7.5,0.1305
7.6,0.1323
7.7,0.1340
7.8,0.1357
7.9,0.1374
8,0.1392
8.1,0.1409
8.2,0.1426
8.3,0.1444
8.4,0.1461
8.5,0.1478
8.6,0.1495
8.7,0.1513
8.8,0.1530
8.9,0.1547
9,0.1564
9.1,0.1582
9.2,0.1599
9.3,0.1616
9.4,0.1633
9.5,0.1650
9.6,0.1668
9.7,0.1685
9.8,0.1702
9.9,0.1719
10,0.1736
10.1,0.1754
10.2,0.1771
10.3,0.1788
10.4,0.1805
10.5,0.1822
10.6,0.1840
10.7,0.1857
10.8,0.1874
10.9,0.1891
11,0.1908
11.1,0.1925
11.2,0.1942
11.3,0.1959
11.4,0.1977
11.5,0.1994
11.6,0.2011
11.7,0.2028
11.8,0.2045
11.9,0.2062
12,0.2079
12.1,0.2096
12.2,0.2113
12.3,0.2130
12.4,0.2147
12.5,0.2164
12.6,0.2181
12.7,0.2198
12.8,0.2215
12.9,0.2233
13,0.2250
13.1,0.2267
13.2,0.2284
13.3,0.2300
13.4,0.2317
13.5,0.2334
13.6,0.2351
13.7,0.2368
13.8,0.2385
13.9,0.2402
14,0.2419
14.1,0.2436
14.2,0.2453
14.3,0.2470
14.4,0.2487
14.5,0.2504
14.6,0.2521
14.7,0.2538
14.8,0.2554
14.9,0.2571
15,0.2588
15.1,0.2605
15.2,0.2622
15.3,0.2639
15.4,0.2656
15.5,0.2672
15.6,0.2689
15.7,0.2706
15.8,0.2723
15.9,0.2740
16,0.2756
16.1,0.2773
16.2,0.2790
16.3,0.2807
16.4,0.2823
16.5,0.2840
16.6,0.2857
16.7,0.2874
16.8,0.2890
16.9,0.2907
17,0.2924
17.1,0.2940
17.2,0.2957
17.3,0.2974
17.4,0.2990
17.5,0.3007
17.6,0.3024
17.7,0.3040
17.8,0.3057
17.9,0.3074
18,0.3090
18.1,0.3107
18.2,0.3123
18.3,0.3140
18.4,0.3156
18.5,0.3173
18.6,0.3190
18.7,0.3206
18.8,0.3223
18.9,0.3239
19,0.3256
19.1,0.3272
19.2,0.3289
19.3,0.3305
19.4,0.3322
19.5,0.3338
19.6,0.3355
19.7,0.3371
19.8,0.3387
19.9,0.3404
20,0.3420
20.1,0.3437
20.2,0.3453
20.3,0.3469
20.4,0.3486
20.5,0.3502
20.6,0.3518
20.7,0.3535
20.8,0.3551
20.9,0.3567
21,0.3584
21.1,0.3600
21.2,0.3616
21.3,0.3633
21.4,0.3649
21.5,0.3665
21.6,0.3681
21.7,0.3697
21.8,0.3714
21.9,0.3730
22,0.3746
22.1,0.3762
22.2,0.3778
22.3,0.3795
22.4,0.3811
22.5,0.3827
22.6,0.3843
22.7,0.3859
22.8,0.3875
22.9,0.3891
23,0.3907
23.1,0.3923
23.2,0.3939
23.3,0.3955
23.4,0.3971
23.5,0.3987
23.6,0.4003
23.7,0.4019
23.8,0.4035
23.9,0.4051
24,0.4067
24.1,0.4083
24.2,0.4099
24.3,0.4115
24.4,0.4131
24.5,0.4147
24.6,0.4163
24.7,0.4179
24.8,0.4195
24.9,0.4210
25,0.4226
25.1,0.4242
25.2,0.4258
25.3,0.4274
25.4,0.4289
25.5,0.4305
25.6,0.4321
25.7,0.4337
25.8,0.4352
25.9,0.4368
26,0.4384
26.1,0.4399
26.2,0.4415
26.3,0.4431
26.4,0.4446
26.5,0.4462
26.6,0.4478
26.7,0.4493
26.8,0.4509
26.9,0.4524
27,0.4540
27.1,0.4555
27.2,0.4571
27.3,0.4586
27.4,0.4602
27.5,0.4617
27.6,0.4633
27.7,0.4648
27.8,0.4664
27.9,0.4679
28,0.4695
28.1,0.4710
28.2,0.4726
28.3,0.4741
28.4,0.4756
28.5,0.4772
28.6,0.4787
28.7,0.4802
28.8,0.4818
28.9,0.4833
29,0.4848
29.1,0.4863
29.2,0.4879
29.3,0.4894
29.4,0.4909
29.5,0.4924
29.6,0.4939
29.7,0.4955
29.8,0.4970
29.9,0.4985
30,0.5000
30.1,0.5015
30.2,0.5030
30.3,0.5045
